"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
°ßòú£¨Blister Beetle£©,MOL001854,130.26,2.58,1,1,47.49,1.21,1.41,0.01,0.22,10.33,TRUE,TRUE,FALSE,TRUE,FALSE
´¨Üº(Sichuan Lovage Rhizome),MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ºÚÖ¥Âé(Black Sesame)(Black Sesame),MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÒøÐÓÒ¶£¨Ginkgo Leaf£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
¸Ê²Ý£¨Liquorice Root£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
¸ð»¨(Flower of Lobed Kudzuvine),MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
·À·ç£¨Divaricate Saposhnikovia Root£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Âé»Æ£¨Ephedra£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ãµ¹å»¨(Rose Flower),MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ä¾Ôô(Common Scouring Rush Herb),MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Å£Ýò×Ó£¨Great Burdock Achene£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ç¼»î£¨Incised Notopterygium Rhizome and Root£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÈýÆß£¨Sanqi£©»¨,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
É°ÈÊ£¨Villous Amomum Fruit£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Þ¯°×£¨Longstamen Onion Bulb£©,MOL002198,100.23,3.57,0,0,41.8,1.77,2.04,0,0.2,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÎÚÒ©£¨Lindera Root£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
È„²Ý(Humuli Scandentis Herba),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
É½ÜïÝÇ£¨Asiatic Cornelian Cherry Fruit£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Òø²ñºú£¨Chinese Thorowax Root£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ä¾Ïã(Common Aucklandia Root),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
°ÍêªÌì(Morinda Root),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
±¡ºÉ(Peppermint),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
éÄÀÆ(Areca Seed),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÎÚÒ©£¨Lindera Root£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
³àÉÖ£¨Red Peony Root£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
´Ð°×£¨Fistular Onion Stalk£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
¸¡Æ¼£¨Common Ducksmeat Herb£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ºÚÖ¥Âé(Black Sesame)(Black Sesame),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
èÁèËÒ¶(Loquat Leaf),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÈýÆß£¨Sanqi£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ú­×Ó£¨Medicine Terminalia Fruit£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
¸Ê²Ý£¨Liquorice Root£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
°ÍêªÌì(Morinda Root),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
¹ãÞ½Ïã£¨Cablin Patchouli Herb£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ºú½·(Pepper Fruit),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
¿àÐÓÈÊ£¨Bitter Apricot Seed£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÀóÖ¦ºË(Lychee Seed),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÁãÁêÏã(Lysimachia foenumgraecum Hance),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÄÏÉßÌÙ¹û£¨Stem of Oriental Bittersweet£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Å£Ýò×Ó£¨Great Burdock Achene£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Üù²Ë£¨Shepherdspurse Herb£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÈË²Î£¨Ginseng£©Ò¶,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
É£é©£¨Mulberry Fruit£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
É³¼¬£¨Seabuckthorn Fruit£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ì´Ïã£¨Sandalwood£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Î÷ºÓÁø(Chinese Tamarisk Twig),MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÒøÐÓÒ¶£¨Ginkgo Leaf£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
Ü¾Ý´£¨Cilantro£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
×ÏËÕ£¨Perilla Leaf£©,MOL002850,220.39,4.85,1,1,40.02,1.75,1.8,0.07,0.3,10.36,TRUE,TRUE,FALSE,TRUE,FALSE
ÜêÜØ£¨Long Pepper£©,MOL001621,274.44,6.2,0,2,47.97,1.66,1.38,0.18,0.26,10.37,TRUE,TRUE,FALSE,TRUE,FALSE
ºú½·(Pepper Fruit),MOL002865,271.34,2.41,0,4,63.63,1.05,0.36,0.2,0.33,10.38,TRUE,TRUE,TRUE,TRUE,TRUE
¹³ÌÙ(Gambir Plant Nod),MOL008481,354.44,0.73,2,6,105.22,-0.11,-0.46,0.7,0.31,10.38,TRUE,TRUE,TRUE,TRUE,TRUE
¹³ÌÙ(Gambir Plant Nod),MOL008475,354.44,0.73,2,6,31.7,0.02,-0.17,0.7,0.31,10.4,TRUE,TRUE,TRUE,TRUE,TRUE
½ðÒø»¨(Honeysuckle Flower),MOL003012,212.22,-0.49,2,5,73.14,-0.51,-1.07,0.07,0,10.41,TRUE,FALSE,FALSE,TRUE,FALSE
ÔóÐº£¨Oriental Waterplantain Rhizome£©,MOL000856,514.77,3.67,1,6,33.06,-0.18,-0.73,0.83,0.32,10.43,TRUE,TRUE,TRUE,TRUE,TRUE
¾Õ»¨(Chrysanthemum Flower),MOL010308,140.3,3.95,0,0,40.3,1.78,2.11,0.02,0.2,10.43,TRUE,TRUE,FALSE,TRUE,FALSE
É£é©£¨Mulberry Fruit£©,MOL010308,140.3,3.95,0,0,40.3,1.78,2.11,0.02,0.2,10.43,TRUE,TRUE,FALSE,TRUE,FALSE
Ï¸ÐÁ(Manchurian Wildginger)(Manchurian Wildginger),MOL012141,326.43,1.22,2,5,37.06,0.34,-0.15,0.83,0.23,10.44,TRUE,TRUE,TRUE,TRUE,TRUE
Ä¾Ôô(Common Scouring Rush Herb),MOL005293,142.32,4.48,0,0,37.33,1.81,2.16,0.02,0.23,10.45,TRUE,TRUE,FALSE,TRUE,FALSE
èÁèËÒ¶(Loquat Leaf),MOL005293,142.32,4.48,0,0,37.33,1.81,2.16,0.02,0.23,10.45,TRUE,TRUE,FALSE,TRUE,FALSE
ÈË²Î£¨Ginseng£©,MOL005293,142.32,4.48,0,0,37.33,1.81,2.16,0.02,0.23,10.45,TRUE,TRUE,FALSE,TRUE,FALSE
´óÔæ£¨Chinese Date£©,MOL012946,472.78,4.39,2,4,32.69,0.42,-0.32,0.62,0.24,10.45,TRUE,TRUE,TRUE,TRUE,TRUE
°ßòú£¨Blister Beetle£©,MOL001851,243.32,4.72,0,1,32.9,1.76,1.32,0.23,0.42,10.46,TRUE,TRUE,TRUE,TRUE,TRUE
ÁéÖ¥£¨Ganoderma£©,MOL011311,146.24,-1.01,1,2,40.97,0.77,0.9,0.02,0.14,10.47,TRUE,TRUE,FALSE,TRUE,FALSE
Çà÷ì£¨Natural Indigo£©,MOL011333,186.23,0.2,0,2,57.92,1.04,0.66,0.09,0.3,10.47,TRUE,TRUE,FALSE,TRUE,FALSE
Ç§Äê½¡£¨Obscured Homalomena Rhizome£©,MOL000689,238.41,2.63,2,2,61.74,0.76,0.49,0.11,0.24,10.48,TRUE,TRUE,FALSE,TRUE,FALSE
ÈâÜÊÈØ£¨Desertliving Cistanche£©,MOL008877,128.29,4.07,0,0,35.13,1.78,2.15,0.01,0.23,10.5,TRUE,TRUE,FALSE,TRUE,FALSE
Ñó½ð»¨£¨Datura Flower£©,MOL011486,632.82,1.43,5,11,31.74,-1.3,-1.94,0.26,0.26,10.5,TRUE,FALSE,TRUE,TRUE,FALSE
¸½×Ó£¨Prepared Common Monkshood Daughter Root£©,MOL002433,781.1,2.2,8,13,41.52,-2.31,-3.18,0.22,0.25,10.51,TRUE,FALSE,TRUE,TRUE,FALSE
°«µØ²è(Japanese Ardisia Herb),MOL003516,128.24,2.26,1,1,33.13,1.2,1.24,0.01,0.28,10.52,TRUE,TRUE,FALSE,TRUE,FALSE
°«µØ²è(Japanese Ardisia Herb),MOL003516,128.24,2.26,1,1,33.13,1.2,1.24,0.01,0.28,10.52,TRUE,TRUE,FALSE,TRUE,FALSE
öÄÂó(Lilac Pink Herb),MOL003516,128.24,2.26,1,1,33.13,1.2,1.24,0.01,0.28,10.52,TRUE,TRUE,FALSE,TRUE,FALSE
¿î¶¬»¨(Common Coltsfoot Flower),MOL010028,390.57,4.19,0,5,61.12,0.43,-0.01,0.38,0.28,10.52,TRUE,TRUE,TRUE,TRUE,TRUE
Ãµ¹å»¨(Rose Flower),MOL010715,128.24,2.25,0,1,56.56,1.31,1.54,0.01,0.26,10.52,TRUE,TRUE,FALSE,TRUE,FALSE
°åÀ¶¸ù£¨Isatis Root£©,MOL000135,186.23,1.29,0,3,56.29,1.04,0.61,0.1,0.32,10.53,TRUE,TRUE,FALSE,TRUE,FALSE
´©É½Áú£¨Dioscoreae Nipponicae Rhizoma£©,MOL000135,186.23,1.29,0,3,56.29,1.04,0.61,0.1,0.32,10.53,TRUE,TRUE,FALSE,TRUE,FALSE
ÃàÝÉËZ£¨Sevenlobed Yam Rhizome£©,MOL000135,186.23,1.29,0,3,56.29,1.04,0.61,0.1,0.32,10.53,TRUE,TRUE,FALSE,TRUE,FALSE
Ñ°¹Ç·ç£¨Wooly Datchmanspipe Herb£©,MOL005636,337.35,2.69,1,6,68,0.83,0.34,0.72,0.31,10.53,TRUE,TRUE,TRUE,TRUE,TRUE
Ç£Å£×Ó(Pharbitis Seed),MOL005245,112.24,3.45,0,0,63.68,1.76,2.13,0.01,0.19,10.54,TRUE,TRUE,FALSE,TRUE,FALSE
°×ÜÆ£¨Dahurian Angelica Root£©,MOL005245,112.24,3.45,0,0,63.68,1.76,2.13,0.01,0.19,10.54,TRUE,TRUE,FALSE,TRUE,FALSE
Å®Õê×Ó£¨Glossy Privet Fruit£©,MOL005209,401.6,1.46,2,5,30.11,0.16,-0.39,0.75,0.22,10.55,TRUE,TRUE,TRUE,TRUE,TRUE
ÈË²Î£¨Ginseng£©,MOL005294,114.26,3.82,0,0,37.1,1.8,2.18,0.01,0.22,10.55,TRUE,TRUE,FALSE,TRUE,FALSE
Ðþ²Î£¨Figwort Root£©,MOL007662,332.38,0.17,3,6,122.87,-0.17,-0.56,0.32,0.32,10.55,TRUE,TRUE,TRUE,TRUE,TRUE
¹³ÌÙ(Gambir Plant Nod),MOL008457,352.47,2.66,1,4,32.42,0.9,0.33,0.81,0.23,10.55,TRUE,TRUE,TRUE,TRUE,TRUE
É½ÜïÝÇ£¨Asiatic Cornelian Cherry Fruit£©,MOL008457,352.47,2.66,1,4,32.42,0.9,0.33,0.81,0.23,10.55,TRUE,TRUE,TRUE,TRUE,TRUE
¸Ê²Ý£¨Liquorice Root£©,MOL004970,114.26,3.82,0,0,36.61,1.79,2.16,0.01,0,10.56,TRUE,TRUE,FALSE,TRUE,FALSE
¾Õ»¨(Chrysanthemum Flower),MOL004970,114.26,3.82,0,0,36.61,1.79,2.16,0.01,0,10.56,TRUE,TRUE,FALSE,TRUE,FALSE
×Ï»¨µØ¶¡£¨Tokyo Violet Herb£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
¾Õ»¨(Chrysanthemum Flower),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
¾£½æ£¨Fineleaf Schizonepeta Herb£©Ëë,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
½ðÇ®²Ý£¨Christina Loosestrife£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
»ÆÜË£¨Baical Skullcap Root£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
É£¼ÄÉú(Chinese Taxillus Herb),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
Éú½ª£¨Fresh Ginger £©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
É³¼¬£¨Seabuckthorn Fruit£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
ÉýÂé(Largetrifoliolious Bugbane Rhizome),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
±¡ºÉ(Peppermint),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
²ñºú£¨Chinese Thorowax Root£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
Âé»Æ£¨Ephedra£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
ºñÆÓ(Officinal Magnolia Bark),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
»ýÑ©²Ý£¨Asiatic Pennywort Herb£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
¾£½æ£¨Fineleaf Schizonepeta Herb£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
À±½·( Hot Pepper),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
ÂÞ²¼ÂéÒ¶£¨Dogbane Leaf£©£¨Dogbane Leaf£©,MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
Ï¸ÐÁ(Manchurian Wildginger)(Manchurian Wildginger),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
Ðì³¤Çä(Paniculate Swallowwort Root),MOL000715,154.28,2.6,0,1,57.9,1.35,1.7,0.03,0.24,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
Ã»Ò©(Myrrh),MOL001157,262.38,3.2,0,3,55.32,0.92,0.86,0.15,0.2,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
¾£½æ£¨Fineleaf Schizonepeta Herb£©,MOL011872,154.28,2.6,0,1,57.9,1.37,1.75,0.03,0.25,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
¾£½æ£¨Fineleaf Schizonepeta Herb£©Ëë,MOL011872,154.28,2.6,0,1,57.9,1.37,1.75,0.03,0.25,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
Âé»Æ£¨Ephedra£©,MOL011872,154.28,2.6,0,1,57.9,1.37,1.75,0.03,0.25,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
ÓíÖÝÂ©Â«£¨Uniflower Swissentaury Root£©£¨Uniflower Swissentaury Root£©,MOL011872,154.28,2.6,0,1,57.9,1.37,1.75,0.03,0.25,10.57,TRUE,TRUE,FALSE,TRUE,FALSE
»ÆÜÎ£¨Milkvetch Root£©,MOL000403,827.13,0.03,8,15,46.06,-2.05,-3.26,0.13,0,10.58,TRUE,FALSE,FALSE,TRUE,FALSE
°ÍêªÌì(Morinda Root),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
ºÚÖ¥Âé(Black Sesame)(Black Sesame),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
ÂÞºº¹û(Grosvenor Momordica Fruit),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
°ÍêªÌì(Morinda Root),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
²ñºú£¨Chinese Thorowax Root£©,MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
À±½·( Hot Pepper),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
ÓñÖñ(Fragrant Solomonseal Rhizome)(Fragrant Solomonseal Rhizome),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
ÁãÁêÏã(Lysimachia foenumgraecum Hance),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
¸Ê²Ý£¨Liquorice Root£©,MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
Å£Ï¥£¨Medicinal Cyathula Root£©,MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
Ç£Å£×Ó(Pharbitis Seed),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
É£¼ÄÉú(Chinese Taxillus Herb),MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
Éú½ª£¨Fresh Ginger £©,MOL000703,114.21,1.79,0,1,46.56,1.31,1.57,0.01,0.25,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
ÖñÁ¤(Bomboo Juice),MOL004484,115.25,1.97,2,1,46.44,1.2,1.26,0.01,0.2,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
°ëÖ¦Á«£¨Barbated Skullcup Herb£©,MOL012241,138.28,3.5,0,0,36.3,1.82,2.16,0.02,0.23,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
Ï¸ÐÁ(Manchurian Wildginger)(Manchurian Wildginger),MOL012241,138.28,3.5,0,0,36.3,1.82,2.16,0.02,0.23,10.58,TRUE,TRUE,FALSE,TRUE,FALSE
°Ë½ÇÁ«(Common Dysosmatis Rhizome and Root),MOL001710,414.44,2.11,1,8,51.77,0.02,-0.51,0.86,0.23,10.59,TRUE,TRUE,TRUE,TRUE,TRUE
°Ë½ÇÁ«(Common Dysosmatis Rhizome and Root),MOL001710,414.44,2.11,1,8,51.77,0.02,-0.51,0.86,0.23,10.59,TRUE,TRUE,TRUE,TRUE,TRUE
Á¬Ç®²Ý£¨Longtube Groundivy Herb£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
Éú½ª£¨Fresh Ginger £©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
¾£½æ£¨Fineleaf Schizonepeta Herb£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
¿àÐÓÈÊ£¨Bitter Apricot Seed£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
×ÏËÕ£¨Perilla Leaf£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
ÂúÉ½ºì(Dahurian Rhododendron Leaf),MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
Ü¾Ý´£¨Cilantro£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
°×ÜÆ£¨Dahurian Angelica Root£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
±¡ºÉ(Peppermint),MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
Ï¸ÐÁ(Manchurian Wildginger)(Manchurian Wildginger),MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
ÉýÂé(Largetrifoliolious Bugbane Rhizome),MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
¹¦ÀÍÄ¾£¨Chinese Mahonia Stem£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
»ýÑ©²Ý£¨Asiatic Pennywort Herb£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
Âé»Æ£¨Ephedra£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
ÈâÜÊÈØ£¨Desertliving Cistanche£©,MOL007330,156.3,2.78,1,1,43.31,1.27,1.49,0.03,0.2,10.59,TRUE,TRUE,FALSE,TRUE,FALSE
ÄÏÎåÎ¶×Ó,MOL009218,452.74,7.05,1,3,43.1,0.62,0.12,0.85,0.28,10.59,TRUE,TRUE,TRUE,TRUE,TRUE
´ó¼»£¨Large Thistle£©,MOL002676,232.45,6.4,0,0,44.06,1.87,1.98,0.08,0.27,10.6,TRUE,TRUE,FALSE,TRUE,FALSE
Å£Ýò×Ó£¨Great Burdock Achene£©,MOL002676,232.45,6.4,0,0,44.06,1.87,1.98,0.08,0.27,10.6,TRUE,TRUE,FALSE,TRUE,FALSE
Ä¾Ïã(Common Aucklandia Root),MOL002676,232.45,6.4,0,0,44.06,1.87,1.98,0.08,0.27,10.6,TRUE,TRUE,FALSE,TRUE,FALSE
ºì»¨£¨Safflower£©,MOL002676,232.45,6.4,0,0,44.06,1.87,1.98,0.08,0.27,10.6,TRUE,TRUE,FALSE,TRUE,FALSE
Âé»Æ£¨Ephedra£©,MOL002838,128.24,2.04,0,1,39.99,1.34,1.57,0.01,0.27,10.6,TRUE,TRUE,FALSE,TRUE,FALSE
ºú½·(Pepper Fruit),MOL002838,128.24,2.04,0,1,39.99,1.34,1.57,0.01,0.27,10.6,TRUE,TRUE,FALSE,TRUE,FALSE
ºú½·(Pepper Fruit),MOL002863,315.45,3.8,0,4,54.19,1.18,0.6,0.31,0.27,10.6,TRUE,TRUE,TRUE,TRUE,TRUE
