"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
Âí±Þ²Ý£¨European Verbena Herb£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ã¨ÑÛ²Ý£¨Herb of Crescent-shaped Euphorbia£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Äµµ¤Æ¤(Tree Peony Root Bark),MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÄÏÉßÌÙ¹û£¨Stem of Oriental Bittersweet£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Å£Ýò×Ó£¨Great Burdock Achene£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Å®Õê×Ó£¨Glossy Privet Fruit£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÆÑ»Æ£¨Cattail Pollen£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÈË²Î£¨Ginseng£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÈË²Î£¨Ginseng£©Ò¶,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÔÂ¼¾»¨£¨Chinese Rose Flower£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
É£Ò¶£¨Mulberry Leaf£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
É£Ö¦£¨Mulberry Twig£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
É³¼¬£¨Seabuckthorn Fruit£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
É³Ô·×Ó£¨Flatstem Milkvetch Seed£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
É½é«Ò¶£¨Howthorn Leaf£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ê¯ÝÅÆÑ£¨Grassleaf Sweetflag Rhizome£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
Ê¯ÁñÆ¤£¨Pomegranate Rind£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÊÁµÙ£¨Persimmon Calyx£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ËÉ»¨·Û£¨Pine Pollen£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
æ¶ÂÞ×Ó(Buckeye Seed),MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÝãÜÂ×Ó(Pepperweed Seed )(Pepperweed Seed ),MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
ÝËË¿×Ó£¨Dodder Seed£©,MOL000422,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0,14.74,TRUE,TRUE,TRUE,TRUE,TRUE
