,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
6141,µ±¹é,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
6231,µ³²Î,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
9085,¸ð»¨,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
17427,ÂÞºº¹û,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
23923,É£Ò¶,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
30456,ÒøÐÓÒ¶,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
31998,ÔóÆá,MOL008284,88.12,0.89,1,2,21.62,0.69,0.98,0,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
6145,µ±¹é,MOL008288,356.4,3.64,2,6,4.54,0.71,-0.16,0.39,0.33,,FALSE,TRUE,TRUE,TRUE,FALSE
21880,Ç¼»î,MOL008288,356.4,3.64,2,6,4.54,0.71,-0.16,0.39,0.33,,FALSE,TRUE,TRUE,TRUE,FALSE
6146,µ±¹é,MOL008290,678.06,8.77,0,8,0.31,0.16,-1.1,0.4,0.02,,FALSE,TRUE,TRUE,TRUE,FALSE
10775,ºÚÖ¥Âé,MOL008290,678.06,8.77,0,8,0.31,0.16,-1.1,0.4,0.02,,FALSE,TRUE,TRUE,TRUE,FALSE
23668,É£é©,MOL008290,678.06,8.77,0,8,0.31,0.16,-1.1,0.4,0.02,,FALSE,TRUE,TRUE,TRUE,FALSE
6319,µ¹¿Û²Ý,MOL008294,552.63,1.06,6,12,24.93,-0.94,-1.89,0.67,0.22,,FALSE,FALSE,TRUE,TRUE,FALSE
6320,µ¹¿Û²Ý,MOL008295,390.47,2.81,3,7,10.57,0.09,-0.91,0.39,0.22,,FALSE,TRUE,TRUE,TRUE,FALSE
6324,µ¹¿Û²Ý,MOL008299,238.31,1.09,3,4,13.17,0.09,-0.48,0.09,0.36,,FALSE,TRUE,FALSE,TRUE,FALSE
6325,µ¹¿Û²Ý,MOL008300,763.53,19.6,2,3,11.68,0.6,-2,0.14,0.14,,FALSE,TRUE,FALSE,TRUE,FALSE
6330,µ¹¿Û²Ý,MOL008305,"1,029.45",3.93,8,16,16.77,-2.16,-3.46,0.03,0.25,,FALSE,FALSE,FALSE,TRUE,FALSE
14534,¾Õ»¨,MOL008307,156.24,3.71,0,0,20.83,1.92,1.9,0.05,0.44,,FALSE,TRUE,FALSE,TRUE,FALSE
6332,µ¹¿Û²Ý,MOL008307,156.24,3.71,0,0,20.83,1.92,1.9,0.05,0.44,,FALSE,TRUE,FALSE,TRUE,FALSE
19788,Ä¾ÃÞ»¨,MOL008307,156.24,3.71,0,0,20.83,1.92,1.9,0.05,0.44,,FALSE,TRUE,FALSE,TRUE,FALSE
6334,µ¹¿Û²Ý,MOL008309,180.22,1.54,0,3,23.95,1.2,1.07,0.05,0.25,,FALSE,TRUE,FALSE,TRUE,FALSE
6335,µ¹¿Û²Ý,MOL008310,218.22,1.64,1,4,13.21,0.42,-0.05,0.1,0.26,,FALSE,TRUE,FALSE,TRUE,FALSE
6337,µ¹¿Û²Ý,MOL008312,448.51,2.3,3,9,12.53,0,-1.21,0.5,0.21,,FALSE,TRUE,TRUE,TRUE,FALSE
6338,µ¹¿Û²Ý,MOL008313,266.27,0.1,4,6,29.81,-0.61,-1.33,0.15,0.25,,FALSE,FALSE,FALSE,TRUE,FALSE
