,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
18804,Ã¨×¦²Ý,MOL000802,392.68,6.78,0,1,15.27,1.51,1.22,0.73,0.27,,FALSE,TRUE,TRUE,TRUE,FALSE
32413,ÖíÜß,MOL000805,478.74,2.76,5,6,16.72,-0.9,-1.54,0.81,0.27,,FALSE,FALSE,TRUE,TRUE,FALSE
32414,ÖíÜß,MOL000806,492.72,1.11,5,7,12.61,-1.11,-1.91,0.79,0.28,,FALSE,FALSE,TRUE,TRUE,FALSE
32415,ÖíÜß,MOL000807,492.72,1.31,5,7,10.62,-0.79,-1.57,0.84,0.24,,FALSE,FALSE,TRUE,TRUE,FALSE
32416,ÖíÜß,MOL000808,494.74,1.25,6,7,16.35,-1.1,-1.74,0.82,0.27,,FALSE,FALSE,TRUE,TRUE,FALSE
32417,ÖíÜß,MOL000809,478.74,2.6,5,6,12.43,-0.67,-1.34,0.81,0.26,,FALSE,FALSE,TRUE,TRUE,FALSE
32418,ÖíÜß,MOL000810,476.72,2.4,5,6,16.28,-0.69,-1.13,0.82,0.28,,FALSE,FALSE,TRUE,TRUE,FALSE
32419,ÖíÜß,MOL000811,476.72,2.47,4,6,17.7,-0.62,-1.29,0.84,0.27,,FALSE,FALSE,TRUE,TRUE,FALSE
32420,ÖíÜß,MOL000812,460.72,3.42,4,5,14.96,-0.64,-1.32,0.82,0.3,,FALSE,FALSE,TRUE,TRUE,FALSE
26827,ÌìóÃ»Æ,MOL000813,180.18,-2.51,5,6,20.71,-1.91,-4.57,0.04,0.27,,FALSE,FALSE,FALSE,TRUE,FALSE
3127,éÄÀÆ,MOL000813,180.18,-2.51,5,6,20.71,-1.91,-4.57,0.04,0.27,,FALSE,FALSE,FALSE,TRUE,FALSE
32421,ÖíÜß,MOL000813,180.18,-2.51,5,6,20.71,-1.91,-4.57,0.04,0.27,,FALSE,FALSE,FALSE,TRUE,FALSE
32423,ÖíÜß,MOL000815,478.74,2.6,5,6,10.51,-0.89,-1.5,0.82,0.29,,FALSE,FALSE,TRUE,TRUE,FALSE
32426,ÖíÜß,MOL000818,384.72,9.34,2,3,17.55,0.62,-0.02,0.38,0.19,,FALSE,TRUE,TRUE,TRUE,FALSE
32427,ÖíÜß,MOL000819,460.72,3.49,4,5,23.14,-0.65,-1.4,0.82,0.3,,FALSE,FALSE,TRUE,TRUE,FALSE
32429,ÖíÜß,MOL000821,462.74,3.62,4,5,21.96,-0.61,-1.06,0.81,0.28,,FALSE,FALSE,TRUE,TRUE,FALSE
32007,ÔóÐº,MOL000823,161.17,1.73,2,2,25.83,0.79,0.61,0.05,0.3,,FALSE,TRUE,FALSE,TRUE,FALSE
32012,ÔóÐº,MOL000828,490.8,3.88,4,5,18.28,-0.48,-0.91,0.81,0.26,,FALSE,FALSE,TRUE,TRUE,FALSE
32013,ÔóÐº,MOL000829,532.84,4.26,3,6,24.21,-0.13,-0.61,0.8,0.26,,FALSE,TRUE,TRUE,TRUE,FALSE
32017,ÔóÐº,MOL000833,528.85,3.7,2,5,14.2,-0.01,-0.69,0.67,0.26,,FALSE,TRUE,TRUE,TRUE,FALSE
32022,ÔóÐº,MOL000838,504.5,-6.18,11,16,1.09,-4.08,-9.19,0.62,0.27,,FALSE,FALSE,TRUE,TRUE,FALSE
25980,ÊìµØ»Æ,MOL000841,504.5,-6.06,11,16,11.79,-3.91,-8.77,0.66,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
7196,°×±â¶¹,MOL000841,504.5,-6.06,11,16,11.79,-3.91,-8.77,0.66,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
746,°×±â¶¹,MOL000841,504.5,-6.06,11,16,11.79,-3.91,-8.77,0.66,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
4105,³µÇ°²Ý,MOL000841,504.5,-6.06,11,16,11.79,-3.91,-8.77,0.66,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
14777,¾öÃ÷×Ó,MOL000841,504.5,-6.06,11,16,11.79,-3.91,-8.77,0.66,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
32025,ÔóÐº,MOL000841,504.5,-6.06,11,16,11.79,-3.91,-8.77,0.66,0.21,,FALSE,FALSE,TRUE,TRUE,FALSE
20882,ÅÖ´óº£,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
25981,ÊìµØ»Æ,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
33936,Ýï±¾,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
27027,ÍÁ±´Ä¸,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
15370,¿î¶¬»¨,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
21881,Ç¼»î,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
12333,»ÆÒ©×Ó,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
32026,ÔóÐº,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
1208,°×ÉÖ,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
1608,°×ÜÆ,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
2184,°åÀ¶¸ù,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
4107,³µÇ°²Ý,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
4440,³àÉÖ,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
4661,´¨±´Ä¸,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
5017,´¨Üº,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
5724,´óÔæ,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
9030,¸ð»¨,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
13035,½Ê¹ÉÀ¶,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
19281,â¨ºïÌÒ¸ù,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
20837,Å®Õê×Ó,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
23801,É£Ò¶,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
24174,É³¼¬,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
27543,ÎÞ»¼×ÓÆ¤,MOL000842,342.34,-4.31,8,11,7.17,-2.89,-6.67,0.23,0.2,,FALSE,FALSE,TRUE,TRUE,FALSE
32027,ÔóÐº,MOL000843,666.66,-7.8,14,21,3.52,-5.18,-12.28,0.63,0.25,,FALSE,FALSE,TRUE,TRUE,FALSE
21387,Üù²Ë,MOL000844,302.48,2.14,2,4,28.14,0.27,-0.19,0.16,0.31,,FALSE,TRUE,FALSE,TRUE,FALSE
32028,ÔóÐº,MOL000844,302.48,2.14,2,4,28.14,0.27,-0.19,0.16,0.31,,FALSE,TRUE,FALSE,TRUE,FALSE
32029,ÔóÐº,MOL000845,318.48,1.25,3,5,11.3,-0.24,-0.85,0.18,0.34,,FALSE,TRUE,FALSE,TRUE,FALSE
32031,ÔóÐº,MOL000847,318.48,1.04,2,5,18.72,0.38,0.21,0.21,0.31,,FALSE,TRUE,TRUE,TRUE,FALSE
32032,ÔóÐº,MOL000848,842.84,-8.47,17,26,3.01,-6.71,-15.23,0.27,0.25,,FALSE,FALSE,TRUE,TRUE,FALSE
32034,ÔóÐº,MOL000850,490.8,3.88,4,5,18.28,-0.2,-0.83,0.81,0.27,,FALSE,TRUE,TRUE,TRUE,FALSE
32035,ÔóÐº,MOL000851,532.84,4.26,3,6,24.21,-0.28,-1.11,0.8,0.26,,FALSE,TRUE,TRUE,TRUE,FALSE
32036,ÔóÐº,MOL000852,530.82,3.92,2,6,29.94,-0.25,-0.97,0.79,0.3,,FALSE,TRUE,TRUE,TRUE,FALSE
32039,ÔóÐº,MOL000855,515.78,3.32,2,6,29.67,-0.51,-0.78,0.82,0.02,,FALSE,FALSE,TRUE,TRUE,FALSE
13463,½ðÜñÂó,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
9226,¹³ÌÙ,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
32042,ÔóÐº,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
8035,¸¡Æ¼,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
2370,°ëÏÄ,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
4663,´¨±´Ä¸,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
23093,ÈéÏã,MOL000858,330.57,5.57,2,4,26.66,0.17,-0.5,0.22,0.17,,FALSE,TRUE,TRUE,TRUE,FALSE
26605,Ìì¿û×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
32188,èÙ×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
28359,ÏÄ¿Ý²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
18123,Âí³ÝÜÈ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15894,À×¹«ÌÙ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
18806,Ã¨×¦²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
28074,Î÷Ñó²Î,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
22355,ÜÜÂé×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
23802,É£Ò¶,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
27716,ÎâÜïÝÇ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
11091,ºì»¨,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15198,¿àÐÓÈÊ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
20883,ÅÖ´óº£,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
13237,½æ×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
6276,µ³²Î,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
27093,ÍÁÜòÜß,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
31236,Óô½ð,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
11928,»Æ°Ø,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
26829,ÌìóÃ»Æ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
17784,Âé»Æ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
26836,Ìð¹Ï×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
24916,ÉÌÂ½,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
32044,ÔóÐº,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
12334,»ÆÒ©×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
26077,Ë®·É¼»,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
21476,Ç§½ð×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
19853,Ä¾Í¨,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
29678,ÑÇÂé×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
9961,¹ãÔæ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
29116,Þ¯°×,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
18660,Âû¾£×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
19549,Ä¾±î×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
7316,°×¹û,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
7697,·À·ç,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
10134,¹ðÖ¦,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
30459,ÒøÐÓÒ¶,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
8867,¸ßÁ¼½ª,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
14224,½Û¹£,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
8564,¸ÊËÉ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
7197,°×±â¶¹,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
23282,ÈýÆß,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
22966,Èâ¹ð,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
12466,¼¦¹Ç²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
24218,É³Ô·×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
32851,×ÏËÕ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
10619,ºÚ¶¹,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
26315,æ¶ÂÞ×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
14644,éÙºË,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15704,À³ÝÊ×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
6969,°Í¶¹,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
31477,Ü¾Ý´,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
23535,ÔÂ¼¾»¨,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
14063,¾£½æËë,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
6349,µ¹¿Û²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
24390,É°ÈÊ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
31875,Ôí¼Ô×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
30130,Þ²ÜÓÈÊ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
26341,Ì«×Ó²Î,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
9008,¸ð»¨,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
29367,Ðì³¤Çä,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
26037,ÊóÇú²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
23669,É£é©,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
19628,Ä¾¹Ï,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
11561,»¢¶ú²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
519,°Í¶¹,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
611,°ÍêªÌì,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
747,°×±â¶¹,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
866,°×¹û,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
1201,°×ÉÖ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
1406,°×Þ±,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
1609,°×ÜÆ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
1938,°Ø×ÓÈÊ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
2019,°ßòú,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
2185,°åÀ¶¸ù,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
2257,°ë±ßÁ«,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
2371,°ëÏÄ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
2462,°ëÖ¦Á«,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
3023,Üê³ÎÇÑ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
3128,éÄÀÆ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
3294,²Ô¶ú×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
3592,²à°ØÒ¶,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
3878,²ñºú,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
4226,ÎÚÒ©,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
4285,ÎÚÒ©,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
4351,³ÂÆ¤,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
4630,èúÊµ×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
4664,´¨±´Ä¸,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
5018,´¨Üº,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
5304,´Ð°×,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
6005,µ¤²Î,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
6397,µÆÐÄ²Ý,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
7061,°ÍêªÌì,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
9660,¹ÏÝä,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
9794,¹áÒ¶½ðË¿ÌÒ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
10506,ºÉÒ¶,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
11490,ºúÂ«°Í,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
12237,»ÆÜË,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
12421,»ðÂéÈÊ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
13037,½Ê¹ÉÀ¶,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
13343,½ðÁ«»¨,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
13735,½ðÓ£×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
13968,¾£½æ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
14115,¾Â²Ë×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15118,¿àé¬×Ó,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15371,¿î¶¬»¨,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15552,À±½·,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
15987,ÀóÖ¦ºË,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
16187,Á¬ÇÌ,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
16580,ÁéÖ¥,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
17428,ÂÞºº¹û,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
18068,Âí²ª,MOL000860,284.54,7.28,1,2,17.83,1.15,1.22,0.14,0.19,,FALSE,TRUE,FALSE,TRUE,FALSE
